name,url
அஷ்வின் ராஜா,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B7%E0%AF%8D%E0%AE%B5%E0%AE%BF%E0%AE%A9%E0%AF%8D_%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AE%BE
அஸ்வந்த் திலக்,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B8%E0%AF%8D%E0%AE%B5%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%8D_%E0%AE%A4%E0%AE%BF%E0%AE%B2%E0%AE%95%E0%AF%8D
அஸ்வின் ககுமனு,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B8%E0%AF%8D%E0%AE%B5%E0%AE%BF%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%A9%E0%AF%81
அஸ்வின் குமார்,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B8%E0%AF%8D%E0%AE%B5%E0%AE%BF%E0%AE%A9%E0%AF%8D_%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AF%8D
முருகதாஸ் (நடிகர்),https://ta.wikipedia.org/wiki/%E0%AE%AE%E0%AF%81%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AE%A4%E0%AE%BE%E0%AE%B8%E0%AF%8D_(%E0%AE%A8%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D)
ஆடுகளம் நரேன்,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%9F%E0%AF%81%E0%AE%95%E0%AE%B3%E0%AE%AE%E0%AF%8D_%E0%AE%A8%E0%AE%B0%E0%AF%87%E0%AE%A9%E0%AF%8D
ஆதி (நடிகர்),https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%A4%E0%AE%BF_(%E0%AE%A8%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D)
ஆதித்யா (நடிகர்),https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%A4%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%AF%E0%AE%BE_(%E0%AE%A8%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D)
ஆர். என். ஆர். மனோகர்,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%8E%E0%AE%A9%E0%AF%8D._%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%AE%E0%AE%A9%E0%AF%8B%E0%AE%95%E0%AE%B0%E0%AF%8D
ஆர். எஸ். சிவாஜி,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%8E%E0%AE%B8%E0%AF%8D._%E0%AE%9A%E0%AE%BF%E0%AE%B5%E0%AE%BE%E0%AE%9C%E0%AE%BF
ஆர். எஸ். ஜி. செல்லதுரை,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%8E%E0%AE%B8%E0%AF%8D._%E0%AE%9C%E0%AE%BF._%E0%AE%9A%E0%AF%86%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AE%A4%E0%AF%81%E0%AE%B0%E0%AF%88
ஆர். கே. (நடிகர்),https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%95%E0%AF%87._(%E0%AE%A8%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D)
ஆர். பாலசுப்பிரமணியம்,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%AA%E0%AE%BE%E0%AE%B2%E0%AE%9A%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%AF%E0%AE%AE%E0%AF%8D
ஆர். முத்துராமன்,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AE%A9%E0%AF%8D
ஆர். ஜே. பாலாஜி,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%9C%E0%AF%87._%E0%AE%AA%E0%AE%BE%E0%AE%B2%E0%AE%BE%E0%AE%9C%E0%AE%BF
ஆர்யா,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AF%8D%E0%AE%AF%E0%AE%BE
ஆரவ்,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AE%B5%E0%AF%8D
ஆரி (நடிகர்),https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AE%BF_(%E0%AE%A8%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D)
ஆரியன் (நடிகர்),https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D_(%E0%AE%A8%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D)
ஆனந்த் (நடிகர்),https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%A9%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%8D_(%E0%AE%A8%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D)
ஆனந்த் பாபு,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%A9%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%8D_%E0%AE%AA%E0%AE%BE%E0%AE%AA%E0%AF%81
ஆனந்த் ராஜ் (நடிகர்),https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%A9%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%8D_%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AF%8D_(%E0%AE%A8%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D)
ஆஷிஷ் வித்யார்த்தி,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B7%E0%AE%BF%E0%AE%B7%E0%AF%8D_%E0%AE%B5%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%AF%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF
இ. வி. கணேஷ் பாபு,https://ta.wikipedia.org/wiki/%E0%AE%87._%E0%AE%B5%E0%AE%BF._%E0%AE%95%E0%AE%A3%E0%AF%87%E0%AE%B7%E0%AF%8D_%E0%AE%AA%E0%AE%BE%E0%AE%AA%E0%AF%81
இமான் அண்ணாச்சி,https://ta.wikipedia.org/wiki/%E0%AE%87%E0%AE%AE%E0%AE%BE%E0%AE%A9%E0%AF%8D_%E0%AE%85%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%BE%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BF
இரகுவண்ணன்,https://ta.wikipedia.org/wiki/%E0%AE%87%E0%AE%B0%E0%AE%95%E0%AF%81%E0%AE%B5%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%A9%E0%AF%8D
இரசினிகாந்து,https://ta.wikipedia.org/wiki/%E0%AE%87%E0%AE%B0%E0%AE%9A%E0%AE%BF%E0%AE%A9%E0%AE%BF%E0%AE%95%E0%AE%BE%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%81
